"Date","NorthIceAverageExtent","SouthIceAverageExtent","GlobalIceExtent","N-SDiffIceExtent","Trend for Co2 amount"
1978-11-01,11.6451333333333,15.8964,27.5415333333333,-4.25126666666667,335.99
1978-12-01,13.6670625,10.39525,24.0623125,3.2718125,335.88
1979-01-01,15.414,5.4022,20.8162,10.0118,336.22
1979-02-01,16.1752857142857,3.14107142857143,19.3163571428571,13.0342142857143,336.01
1979-03-01,16.3419375,3.9993125,20.34125,12.342625,336.54
1979-04-01,15.4468,7.48553333333333,22.9323333333333,7.96126666666667,336.24
1979-05-01,13.8568666666667,10.8266666666667,24.6835333333333,3.0302,336.21
1979-06-01,12.53,14.187,26.717,-1.657,336.84
1979-07-01,10.31125,16.516875,26.828125,-6.205625,336.72
1979-08-01,8.04106666666667,17.6982666666667,25.7393333333333,-9.6572,337.24
1979-09-01,7.05113333333333,18.1955333333333,25.2466666666667,-11.1444,337.2
1979-10-01,8.7479375,17.8205,26.5684375,-9.0725625,337.53
1979-11-01,10.9430666666667,15.3370666666667,26.2801333333333,-4.394,337.57
1979-12-01,13.3362666666667,9.2358,22.5720666666667,4.10046666666667,337.79
1980-01-01,14.861875,4.562,19.423875,10.299875,338.09
1980-02-01,15.9551428571429,2.81835714285714,18.7735,13.1367857142857,337.82
1980-03-01,16.0413125,3.294875,19.3361875,12.7464375,338.43
1980-04-01,15.4290666666667,5.405,20.8340666666667,10.0240666666667,338.3
1980-05-01,13.7926,8.85666666666667,22.6492666666667,4.93593333333333,338.43
1980-06-01,12.2046,12.4902666666667,24.6948666666667,-0.285666666666668,338.84
1980-07-01,10.1000625,15.5644375,25.6645,-5.464375,338.54
1980-08-01,7.98426666666667,17.8056,25.7898666666667,-9.82133333333333,339.12
1980-09-01,7.66706666666667,18.8172666666667,26.4843333333333,-11.1502,339.33
1980-10-01,9.18275,18.567875,27.750625,-9.385125,339.42
1980-11-01,11.3828666666667,16.1331333333333,27.516,-4.75026666666667,339.42
1980-12-01,13.5929333333333,10.1558666666667,23.7488,3.43706666666667,339.26
1981-01-01,14.9096875,4.411875,19.3215625,10.4978125,339.38
1981-02-01,15.6040714285714,2.8735,18.4775714285714,12.7305714285714,339.93
1981-03-01,15.6315333333333,3.39153333333333,19.0230666666667,12.24,340.06
1981-04-01,15.0099333333333,5.83846666666667,20.8484,9.17146666666667,339.94
1981-05-01,13.801625,9.354625,23.15625,4.447,339.98
1981-06-01,12.4297333333333,13.1085333333333,25.5382666666667,-0.678800000000001,340.07
1981-07-01,10.271,16.0387333333333,26.3097333333333,-5.76773333333333,339.92
1981-08-01,7.8443125,17.7365,25.5808125,-9.8921875,339.86
1981-09-01,7.13846666666667,18.5964666666667,25.7349333333333,-11.458,340.17
1981-10-01,8.85626666666667,18.2937333333333,27.15,-9.43746666666667,340.43
1981-11-01,10.929,16.1113333333333,27.0403333333333,-5.18233333333333,340.74
1981-12-01,13.341125,10.8948125,24.2359375,2.4463125,340.79
1982-01-01,15.1767333333333,5.26006666666667,20.4368,9.91666666666667,341.1
1982-02-01,15.9735,3.1285,19.102,12.845,341.1
1982-03-01,16.043875,4.2878125,20.3316875,11.7560625,341.21
1982-04-01,15.466,7.72293333333333,23.1889333333333,7.74306666666667,341.37
1982-05-01,13.9732,10.7583333333333,24.7315333333333,3.21486666666667,341.56
1982-06-01,12.4760666666667,13.4167333333333,25.8928,-0.940666666666667,341.35
1982-07-01,10.3670625,15.8721875,26.23925,-5.505125,341.55
1982-08-01,8.13953333333333,17.7892,25.9287333333333,-9.64966666666667,341.51
1982-09-01,7.30173333333333,18.3534666666667,25.6552,-11.0517333333333,341.47
1982-10-01,9.4210625,17.788375,27.2094375,-8.3673125,341.65
1982-11-01,11.6274666666667,15.5366,27.1640666666667,-3.90913333333333,341.73
1982-12-01,13.6418,9.21566666666667,22.8574666666667,4.42613333333333,341.79
1983-01-01,14.9424375,4.7705,19.7129375,10.1719375,341.84
1983-02-01,16.0061428571429,3.07028571428571,19.0764285714286,12.9358571428571,342.32
1983-03-01,16.0852666666667,4.01566666666667,20.1009333333333,12.0696,341.82
1983-04-01,15.1720666666667,6.4704,21.6424666666667,8.70166666666667,342.66
1983-05-01,13.4913125,9.526,23.0173125,3.9653125,342.87
1983-06-01,12.2956666666667,12.6426,24.9382666666667,-0.346933333333332,343.15
1983-07-01,10.5702666666667,15.4666666666667,26.0369333333333,-4.8964,343.44
1983-08-01,8.185875,17.2508125,25.4366875,-9.0649375,343.66
1983-09-01,7.3946,18.5852,25.9798,-11.1906,343.49
1983-10-01,9.33406666666667,17.9153333333333,27.2494,-8.58126666666667,343.72
1983-11-01,11.461,16.0142,27.4752,-4.5532,343.71
1983-12-01,13.2984375,10.393875,23.6923125,2.9045625,343.96
1984-01-01,14.4732666666667,4.77866666666667,19.2519333333333,9.6946,344.2
1984-02-01,15.2989333333333,2.67726666666667,17.9762,12.6216666666667,344.22
1984-03-01,15.5842,3.61233333333333,19.1965333333333,11.9718666666667,344.09
1984-05-01,13.5766875,9.7484375,23.325125,3.82825,344.45
1984-06-01,12.1516666666667,13.2304666666667,25.3821333333333,-1.0788,344.51
1984-07-01,9.97753333333333,16.3948666666667,26.3724,-6.41733333333333,344.76
1984-08-01,7.7710625,17.9276875,25.69875,-10.156625,344.94
1984-09-01,6.8052,18.1714666666667,24.9766666666667,-11.3662666666667,344.58
1984-10-01,8.5606,17.5726,26.1332,-9.012,345.01
1984-11-01,10.8415333333333,16.134,26.9755333333333,-5.29246666666667,345.2
1984-12-01,12.9894375,10.473,23.4624375,2.5164375,345.57
1985-01-01,14.7248666666667,4.4554,19.1802666666667,10.2694666666667,345.31
1985-02-01,15.4657142857143,2.83642857142857,18.3021428571429,12.6292857142857,345.61
1985-03-01,15.8859375,3.7171875,19.603125,12.16875,346.37
1985-04-01,15.3565333333333,6.4932,21.8497333333333,8.86333333333333,345.79
1985-05-01,14.0734,10.1528,24.2262,3.9206,345.91
1985-06-01,12.2190666666667,13.4285333333333,25.6476,-1.20946666666667,345.94
1985-07-01,9.7445625,15.7209375,25.4655,-5.976375,345.89
1985-08-01,7.40186666666667,17.6322,25.0340666666667,-10.2303333333333,346.34
1985-09-01,6.69766666666667,18.7032,25.4008666666667,-12.0055333333333,346.4
1985-10-01,8.5459375,18.2044375,26.750375,-9.6585,346.42
1985-11-01,11.0245333333333,16.1402,27.1647333333333,-5.11566666666667,346.61
1985-12-01,13.0499333333333,11.3522,24.4021333333333,1.69773333333333,346.81
1986-01-01,14.889625,5.42225,20.311875,9.467375,346.59
1986-02-01,15.7848571428571,3.19314285714286,18.978,12.5917142857143,346.74
1986-03-01,15.9094666666667,3.6984,19.6078666666667,12.2110666666667,346.68
1986-04-01,15.0588,6.38553333333333,21.4443333333333,8.67326666666667,347.22
1986-05-01,13.3795625,9.295625,22.6751875,4.0839375,347.26
1986-06-01,11.9759333333333,12.687,24.6629333333333,-0.711066666666666,347.52
1986-07-01,10.1464666666667,15.3168,25.4632666666667,-5.17033333333333,347.33
1986-08-01,7.9795625,16.9988125,24.978375,-9.01925,347.41
1986-09-01,7.41066666666667,17.6831333333333,25.0938,-10.2724666666667,348.35
1986-10-01,9.48393333333333,17.1837333333333,26.6676666666667,-7.6998,347.77
